Black,Mansfield,Midwest,Mansfield Police Department,Taser,yes
Black,Columbia,Midwest,Boone County Sheriff s Department,Gunshot,yes
White,Sulphur Springs,Southwest,Sulphur Springs Police Department,Taser,yes
White,Salemburg,Southeast,Sampson County Sheriff s Office,Gunshot,yes
White,Marion,Midwest,Marion Police Department  Illinois State Police and Williamson County Sheriff s Department,Gunshot,yes
Black,St Louis,Midwest,St Louis Metropolitan Police Department,Gunshot,No
White,Huntley,West,Yellowstone County Sheriff s Office,Gunshot,yes
Black,Indianapolis,Midwest,Indianapolis Metropolitan Police Department,Gunshot,yes
Black,Tarboro,Southeast,Tarboro Police Department and Edgecombe Sheriff s Office,Gunshot,No
Black,St Paul,Midwest,St Paul Police Department,Gunshot,yes
White,Wapanucka,Southwest,Oklahoma Highway Patrol and Tupelo Police Department,Gunshot,yes
White,Palm Bay,Southeast,Palm Bay Police Department,Gunshot,yes
Hispanic/Latino,Houston,Southwest,US Marshals Service,Gunshot,No
Black,Hawthorne,West,Hawthorne Police Department,Gunshot,No
Hispanic/Latino,Mission,Southwest,Hidalgo County Sheriff s Office,Gunshot,yes
Black,Tulsa,Southwest,Osage Nation Police Department,Taser,yes
Black,Atlanta,Southeast,Atlanta Police Department,Gunshot,yes
Black,Miami,Southeast,Miami-Dade Police Department,Gunshot,yes
Black,San Francisco,West,San Francisco Sheriff s Department,Death in custody,No
Hispanic/Latino,Pomona,West,San Bernardino County Sheriff s Office,Gunshot,yes
White,Morenci,Southwest,Clifton Police Department and Greenlee County Sheriff s Office,Gunshot,yes
Black,Oklahoma City,Southwest,Oklahoma City Police Department,Gunshot,No
Unknown,Cottonwood,Southwest,Yavapai County Sheriff s Office,Gunshot,No
White,Bunch,Southwest,Oklahoma Department of Wildlife Conservation,Gunshot,yes
White,Somerset,Northeast,Pennsylvania State Police,Gunshot,yes
Unknown,Lawrenceville,Southeast,Gwinnett County Sheriff s Department,Gunshot,yes
White,St Petersburg,Southeast,St Petersburg Police Department,Gunshot,yes
Black,Miami Gardens,Southeast,Miami Gardens Police Department,Gunshot,yes
White,Rudioso,Southeast,New Mexico State Police and US Marshals Service,Gunshot,No
Hispanic/Latino,Pasco,West,Pasco Police Department,Gunshot,yes
White,Catskill,Northeast,New York State Troopers,Struck by vehicle,yes
Black,Cleveland,Midwest,Cleveland Division of Police,Gunshot,yes
White,Hanover,Northeast,Hummelstown Police Department,Gunshot,yes
Black,Chicago,Midwest,Chicago Police Department,Gunshot,No
Asian/Pacific Islander,Honolulu,West,Honolulu Police Department,Taser,No
Black,Pittsburgh,Northeast,US Marshals Service  Pennsylvania State Police  Allegheny County Sheriff s Office,Gunshot,yes
