raceethnicity,city,region,lawenforcementagency,cause,armed
White,Kansas City,Midwest,US Marshals Service,Gunshot,No
White,Robertsville,Midwest,St Louis County Police Department,Gunshot,No
White,Springfield,Midwest,Springfield Police Department,Gunshot,No
White,Columbia,Midwest,Columbia Police Department and University of Missouri Police,Gunshot,yes
White,Lucedale,Southeast,George County Sheriff s Department,Gunshot,yes
White,Robinsonville,Southeast,Mississippi Gaming Commission,Gunshot,yes
White,Ruth,Southeast,Pike County Sheriff s Office,Gunshot,yes
White,Iuka,Southeast,Iuka Police Department,Gunshot,No
White,Meridian,Southeast,Lauderdale County Sheriff s Office,Taser,No
White,Gulfport,Southeast,Gulfport Police Department,Gunshot,yes
White,Billings,West,Billings Police Department,Gunshot,yes
White,Huntley,West,Yellowstone County Sheriff s Office,Gunshot,yes
Black,Gastonia,Southeast,Gastonia Police Department,Gunshot,yes
Black,Charlotte,Southeast,Charlotte-Mecklenburg Police Department,Gunshot,yes
White,Gastonia,Southeast,Gastonia Police Department,Gunshot,yes
White,Penrose,Southeast,North Carolina Alcohol Law Enforcement  Transylvania County Sheriff s Office  Homeland Security,Gunshot,yes
White,Gaston,Southeast,Gaston County Police Department,Gunshot,yes
White,Enfield,Southeast,Enfield Police Department,Taser,yes
White,Dublin,Southeast,Bladen County Sheriff s Office and Bladenboro Police Department,Gunshot,yes
White,Salemburg,Southeast,Sampson County Sheriff s Office,Gunshot,yes
Black,Tarboro,Southeast,Tarboro Police Department and Edgecombe Sheriff s Office,Gunshot,No
White,Wake Forest,Southeast,Wake Forest Police Department,Gunshot,No
White,Sidney,Midwest,Sidney Police Department,Gunshot,yes
White,Omaha,Midwest,Omaha Police Department,Gunshot,yes
White,Omaha,Midwest,Omaha Police Department,Gunshot,yes
Black,Norfolk,Midwest,Norfolk Police Division,Death in custody,No
Black,Omaha,Midwest,Omaha Police Department,Gunshot,No
White,Lincoln,Midwest,US Marshals Service,Gunshot,Unknown
White,Derry,Northeast,Derry Police Department,Gunshot,yes
Black,Vineland,Northeast,Vineland Police Department,Death in custody,yes
Black,Lyndhurst,Northeast,Lyndhurst Police Department,Gunshot,yes
Black,Ridgefield Park,Northeast,New Jersey State Police,Struck by vehicle,yes
White,Hamilton Township,Northeast,Hamilton Police Department,Gunshot,yes
Black,Union,Northeast,New Jersey State Police,Gunshot,yes
